user_id,days_since_last_trip,trips_last_30d,monetary_total,rfm_recency_score,rfm_frequency_score,rfm_monetary_score,rfm_combined_score,avg_trip_duration,avg_fare,avg_surge,tip_rate,peak_hour_rate,weekend_ratio,rainy_ride_ratio,preffered_payment_encoded,avg_driver_rating_received,session_last_30d,session_last_60d,avg_time_on_app,avg_pages_visited,session_conversation_rate,engagement_score,account_age_days,activity_trend_30d,unique_active_days,days_since_last_session,has_session
R00058,6,2,309.47,4,3,2,3,28.69,15.8,1.1,0.5,0.06,0.25,0.25,0,4.194,5.0,5.0,71.2,1.8,0.4,128.16,563,0.67,16,0.0,1
R00060,7,2,322.41,4,3,2,3,33.95,14.31,1.11,0.11,0.47,0.37,0.11,0,4.1,5.0,5.0,285.8,3.0,0.0,857.4,134,0.67,19,0.0,1
R00061,49,0,488.96,1,1,5,2,27.81,15.22,1.17,0.31,0.27,0.19,0.23,0,4.015,2.0,2.0,15.5,3.0,0.0,46.5,291,0.0,25,0.0,1
R00062,25,1,401.71,2,1,4,2,32.41,15.65,1.09,0.27,0.32,0.18,0.14,0,4.314,3.0,3.0,61.33,5.0,0.33,306.65,581,0.5,20,0.0,1
R00064,16,3,334.88,3,4,2,3,27.46,18.49,1.29,0.08,0.46,0.38,0.31,0,4.177,5.0,5.0,171.6,1.4,0.2,240.24,285,0.75,12,0.0,1
R00065,7,2,402.74,4,3,4,4,24.89,17.52,1.14,0.22,0.22,0.33,0.11,0,4.344,2.0,2.0,8.0,3.0,0.0,24.0,382,0.67,18,0.0,1
R00066,43,0,312.48,1,1,2,1,27.53,14.17,1.09,0.47,0.21,0.32,0.21,0,4.016,1.0,1.0,18.0,2.0,0.0,36.0,488,0.0,18,0.0,1
R00067,43,0,212.24,1,1,1,1,31.73,12.66,1.0,0.8,0.4,0.33,0.07,0,4.493,4.0,4.0,36.5,2.0,0.0,73.0,289,0.0,15,0.0,1
R00068,4,2,487.16,5,3,5,4,32.15,14.86,1.16,0.35,0.23,0.23,0.15,0,4.012,10.0,10.0,43.4,2.9,0.1,125.86,278,0.67,26,0.0,1
R00069,1,1,369.99,5,1,3,3,30.16,13.24,1.06,0.32,0.32,0.28,0.2,0,4.02,6.0,6.0,61.17,3.17,0.0,193.91,73,0.5,23,0.0,1
R00070,17,2,395.84,3,3,3,3,28.22,16.46,1.23,0.44,0.17,0.11,0.28,0,4.328,7.0,7.0,119.71,2.14,0.0,256.18,328,0.67,18,0.0,1
R00071,3,5,495.64,5,5,5,5,35.53,13.74,1.08,0.12,0.28,0.34,0.16,0,4.203,5.0,5.0,124.0,4.0,0.0,496.0,705,0.83,32,0.0,1
R00072,21,3,372.15,2,4,3,3,31.25,15.35,1.12,0.55,0.2,0.3,0.15,0,4.225,3.0,3.0,32.0,2.33,0.67,74.56,407,0.75,20,0.0,1
R00073,12,1,431.92,3,1,4,3,29.75,18.4,1.32,0.19,0.12,0.56,0.31,0,4.188,2.0,2.0,246.5,2.5,0.0,616.25,534,0.5,15,0.0,1
R00074,6,3,372.42,4,4,3,4,27.43,15.08,1.1,0.33,0.24,0.24,0.19,0,4.262,9.0,9.0,122.67,2.89,0.22,354.52,335,0.75,21,0.0,1
R00075,16,3,451.36,3,4,4,4,32.48,16.51,1.22,0.19,0.38,0.24,0.24,0,4.057,7.0,7.0,58.14,2.71,0.29,157.56,565,0.75,20,0.0,1
R00077,24,2,296.22,2,3,2,2,29.69,17.44,1.21,0.54,0.0,0.08,0.23,0,4.246,7.0,7.0,369.14,3.43,0.14,1266.15,623,0.67,13,0.0,1
R00078,0,1,470.22,5,1,5,4,25.42,17.23,1.27,0.32,0.42,0.37,0.32,0,4.2,6.0,6.0,91.33,1.83,0.0,167.13,355,0.5,19,0.0,1
R00079,12,2,676.28,3,3,5,4,38.13,16.68,1.21,0.29,0.29,0.35,0.23,0,4.029,6.0,6.0,62.33,2.83,0.17,176.39,250,0.67,30,0.0,1
R00080,73,0,396.15,1,1,3,2,30.6,16.3,1.18,0.15,0.35,0.1,0.25,0,4.095,4.0,4.0,95.5,3.5,0.0,334.25,243,0.0,19,0.0,1
R00081,48,0,480.57,1,1,5,2,33.72,15.32,1.14,0.2,0.28,0.4,0.2,0,4.188,10.0,10.0,84.4,3.0,0.1,253.2,677,0.0,25,0.0,1
R00082,0,2,516.8,5,3,5,4,28.14,17.65,1.2,0.24,0.29,0.33,0.19,0,4.143,4.0,4.0,87.5,2.0,0.0,175.0,372,0.67,21,0.0,1
R00083,19,2,340.97,2,3,2,2,37.18,16.84,1.12,0.41,0.29,0.35,0.12,0,4.359,5.0,5.0,375.0,3.0,0.2,1125.0,573,0.67,17,0.0,1
R00084,10,1,440.3,3,1,4,3,30.2,17.3,1.18,0.65,0.15,0.3,0.25,0,4.17,5.0,5.0,393.6,3.2,0.6,1259.52,89,0.5,19,0.0,1
R00085,53,0,341.87,1,1,2,1,31.47,14.4,1.16,0.42,0.58,0.32,0.21,0,4.2,2.0,2.0,71.0,2.0,0.5,142.0,403,0.0,19,0.0,1
R00086,45,0,424.64,1,1,4,2,36.08,14.84,1.1,0.42,0.46,0.38,0.08,0,4.246,1.0,1.0,743.0,2.0,0.0,1486.0,686,0.0,24,0.0,1
R00087,5,4,365.47,4,5,3,4,33.95,15.77,1.1,0.4,0.2,0.25,0.2,0,4.175,4.0,4.0,13.25,1.5,0.0,19.88,563,0.8,20,0.0,1
R00088,6,2,379.67,4,3,3,3,32.95,15.15,1.11,0.33,0.33,0.29,0.19,0,4.086,5.0,5.0,64.8,2.6,0.2,168.48,278,0.67,20,0.0,1
R00089,15,3,634.84,3,4,5,4,26.47,16.54,1.17,0.33,0.43,0.4,0.2,0,4.233,5.0,5.0,561.0,3.2,0.2,1795.2,279,0.75,27,0.0,1
R00090,24,1,583.6,2,1,5,3,27.67,16.94,1.22,0.75,0.33,0.29,0.33,0,4.167,8.0,8.0,62.12,2.38,0.38,147.85,535,0.5,24,0.0,1
R00091,132,0,303.19,1,1,2,1,28.47,16.5,1.17,0.47,0.13,0.13,0.2,0,3.973,6.0,6.0,27.67,2.33,0.0,64.47,262,0.0,15,0.0,1
R00092,7,3,470.91,4,4,5,4,26.91,16.75,1.15,0.45,0.23,0.36,0.05,0,4.136,4.0,4.0,62.5,2.5,0.25,156.25,633,0.75,22,0.0,1
R00093,0,2,411.09,5,3,4,4,35.12,14.18,1.05,0.46,0.23,0.35,0.15,0,4.196,5.0,5.0,94.4,2.6,0.0,245.44,65,0.67,25,0.0,1
R00094,10,2,287.64,3,3,1,2,31.85,13.22,1.05,0.35,0.2,0.6,0.1,0,4.155,11.0,11.0,38.18,2.64,0.27,100.8,635,0.67,19,0.0,1
R00095,84,0,453.12,1,1,4,2,30.36,16.58,1.17,0.32,0.32,0.27,0.27,0,4.273,5.0,5.0,95.4,3.4,0.2,324.36,246,0.0,20,0.0,1
R00096,13,2,455.99,3,3,4,3,29.83,15.56,1.1,0.57,0.3,0.26,0.17,0,4.239,5.0,5.0,39.2,2.4,0.0,94.08,200,0.67,23,0.0,1
R00097,32,0,248.62,1,1,1,1,32.38,13.05,1.17,0.19,0.44,0.12,0.25,0,4.175,5.0,5.0,87.4,2.0,0.0,174.8,521,0.0,16,0.0,1
R00098,2,4,399.86,5,5,4,5,30.79,14.9,1.08,0.17,0.17,0.38,0.12,0,4.367,4.0,4.0,6.5,3.0,0.0,19.5,367,0.8,23,0.0,1
R00099,14,4,490.03,3,5,5,4,29.38,15.23,1.17,0.27,0.58,0.42,0.23,0,4.162,3.0,3.0,28.0,2.0,0.33,56.0,236,0.8,26,0.0,1
R00100,21,2,451.55,2,3,4,3,25.61,16.68,1.13,0.22,0.3,0.22,0.22,0,4.209,6.0,6.0,42.17,2.33,0.0,98.26,484,0.67,20,0.0,1
R00101,2,1,482.68,5,1,5,4,28.5,14.32,1.13,0.39,0.32,0.25,0.21,0,4.282,2.0,2.0,26.0,2.5,0.0,65.0,538,0.5,27,0.0,1
R00102,17,1,201.11,3,2,1,2,26.08,14.3,1.11,0.25,0.33,0.33,0.25,0,4.117,4.0,4.0,227.5,3.5,0.25,796.25,543,0.5,12,0.0,1
R00104,20,2,348.05,2,3,3,3,29.76,16.71,1.17,0.24,0.18,0.29,0.24,0,4.3,6.0,6.0,44.33,3.17,0.17,140.53,370,0.67,17,0.0,1
R00105,19,3,466.64,2,4,5,4,27.71,16.0,1.1,0.71,0.29,0.33,0.08,0,4.05,4.0,4.0,21.5,3.75,0.5,80.62,301,0.75,24,0.0,1
R00106,9,1,450.05,4,2,4,3,26.62,15.9,1.26,0.14,0.24,0.29,0.29,0,4.148,5.0,5.0,26.6,3.4,0.0,90.44,379,0.5,20,0.0,1
R00108,9,4,344.52,4,5,2,4,34.05,15.1,1.12,0.2,0.4,0.25,0.3,0,4.125,13.0,13.0,89.0,2.85,0.15,253.65,368,0.8,19,0.0,1
R00109,2,2,380.53,5,3,3,4,32.71,14.3,1.16,0.62,0.43,0.19,0.1,0,4.252,2.0,2.0,69.5,1.5,0.5,104.25,190,0.67,21,0.0,1
R00110,43,0,282.25,1,1,1,1,37.0,18.3,1.22,0.42,0.58,0.25,0.33,0,4.217,3.0,3.0,17.33,3.67,0.0,63.6,411,0.0,12,0.0,1
R00111,3,3,392.21,5,4,3,4,32.09,14.57,1.13,0.32,0.18,0.23,0.05,0,4.082,7.0,7.0,42.43,2.71,0.14,114.99,398,0.75,21,0.0,1
R00112,20,2,362.98,2,3,3,3,33.0,16.02,1.19,0.28,0.72,0.39,0.28,0,3.961,2.0,2.0,27.5,3.0,0.0,82.5,268,0.67,18,0.0,1
R00113,13,1,447.89,3,2,4,3,30.29,17.42,1.18,0.14,0.24,0.43,0.33,0,4.129,4.0,4.0,37.5,2.25,0.0,84.38,307,0.5,19,0.0,1
R00114,3,5,748.78,5,5,5,5,27.82,17.84,1.33,0.29,0.14,0.14,0.29,0,4.171,4.0,4.0,125.0,2.75,0.25,343.75,73,0.83,27,0.0,1
R00115,17,3,290.6,3,4,1,3,34.78,14.71,1.07,0.39,0.56,0.17,0.17,0,4.206,4.0,4.0,8.5,2.0,0.25,17.0,70,0.75,18,0.0,1
R00116,10,2,456.04,3,3,4,3,37.29,17.18,1.17,0.24,0.24,0.43,0.33,0,3.881,6.0,6.0,27.17,3.17,0.17,86.13,464,0.67,20,0.0,1
R00117,1,7,430.62,5,5,4,5,29.08,13.86,1.18,0.36,0.52,0.44,0.24,0,4.076,3.0,3.0,98.33,4.0,0.67,393.32,382,0.88,24,0.0,1
R00118,36,0,332.98,1,1,2,1,34.69,16.59,1.18,0.19,0.44,0.44,0.44,0,4.231,3.0,3.0,4.0,4.0,0.33,16.0,109,0.0,16,0.0,1
R00119,4,3,276.42,5,4,1,3,30.59,14.82,1.06,0.18,0.41,0.35,0.12,0,4.165,4.0,4.0,98.0,1.5,0.0,147.0,676,0.75,17,0.0,1
R00120,2,2,243.76,5,3,1,3,35.71,14.84,1.15,0.29,0.14,0.29,0.29,0,4.029,6.0,6.0,385.83,2.83,0.67,1091.9,319,0.67,14,0.0,1
R00121,7,1,156.76,4,2,1,2,30.89,14.05,1.12,0.56,0.33,0.44,0.11,0,4.111,3.0,3.0,243.33,2.67,0.33,649.69,348,0.5,9,0.0,1
R00122,58,0,333.86,1,1,2,1,32.5,15.38,1.12,0.17,0.28,0.39,0.22,0,4.072,3.0,3.0,109.0,3.0,0.0,327.0,588,0.0,17,0.0,1
R00123,17,2,358.43,3,3,3,3,35.65,13.54,1.06,0.83,0.3,0.3,0.17,0,4.043,7.0,7.0,100.14,3.29,0.29,329.46,480,0.67,23,0.0,1
R00124,4,5,435.48,5,5,4,5,25.48,16.49,1.12,0.57,0.33,0.05,0.29,0,4.005,5.0,5.0,64.8,2.4,0.0,155.52,335,0.83,20,0.0,1
R00125,8,2,459.83,4,3,4,4,25.62,16.54,1.2,0.19,0.52,0.19,0.1,0,4.314,5.0,5.0,54.2,3.8,0.0,205.96,401,0.67,21,0.0,1
R00126,7,2,533.93,4,3,5,4,31.42,15.89,1.22,0.27,0.31,0.23,0.27,0,4.108,7.0,7.0,16.29,2.29,0.0,37.3,347,0.67,26,0.0,1
R00127,7,2,309.61,4,3,2,3,32.0,15.14,1.14,0.5,0.38,0.25,0.06,0,4.169,2.0,2.0,40.0,4.0,0.0,160.0,702,0.67,16,0.0,1
R00128,22,2,341.6,2,3,2,2,37.21,15.9,1.07,0.42,0.37,0.26,0.16,0,4.2,2.0,2.0,22.5,3.0,0.0,67.5,167,0.67,18,0.0,1
R00129,13,4,409.73,3,5,4,4,29.44,17.1,1.18,0.44,0.17,0.17,0.17,0,4.261,5.0,5.0,207.6,2.0,0.0,415.2,396,0.8,18,0.0,1
R00130,2,2,320.96,5,3,2,3,39.16,15.11,1.06,0.26,0.47,0.16,0.21,0,4.205,3.0,3.0,127.0,1.67,0.0,212.09,297,0.67,19,0.0,1
R00131,1,5,563.49,5,5,5,5,38.27,15.45,1.14,0.3,0.37,0.33,0.17,0,4.15,9.0,9.0,45.89,2.44,0.33,111.97,627,0.83,29,0.0,1
R00132,3,1,252.57,5,2,1,3,27.75,13.93,1.11,0.31,0.38,0.31,0.31,0,4.294,5.0,5.0,52.4,3.2,0.2,167.68,246,0.5,14,0.0,1
R00133,10,2,613.89,3,3,5,4,35.83,16.71,1.28,0.71,0.25,0.21,0.38,0,4.271,7.0,7.0,89.29,2.86,0.29,255.37,481,0.67,22,0.0,1
R00134,46,0,259.31,1,1,1,1,32.69,14.9,1.04,0.25,0.31,0.12,0.12,0,3.831,2.0,2.0,142.5,1.0,0.0,142.5,91,0.0,16,0.0,1
R00135,104,0,208.67,1,1,1,1,24.25,14.7,1.17,0.42,0.08,0.17,0.25,0,4.45,0.0,0.0,0.0,0.0,0.0,0.0,446,0.0,12,999.0,0
R00136,27,2,389.87,2,3,3,3,31.72,15.26,1.26,0.72,0.44,0.33,0.22,0,4.172,4.0,4.0,308.75,4.25,0.25,1312.19,189,0.67,16,0.0,1
R00137,7,4,382.78,4,5,3,4,38.0,15.22,1.11,0.24,0.62,0.24,0.1,0,4.024,7.0,7.0,96.0,3.43,0.0,329.28,726,0.8,20,0.0,1
R00138,33,0,381.61,1,1,3,2,28.95,15.97,1.14,0.37,0.21,0.37,0.16,0,4.011,3.0,3.0,179.33,3.67,0.0,658.14,519,0.0,18,0.0,1
R00139,37,0,382.3,1,1,3,2,34.91,14.94,1.06,0.26,0.17,0.57,0.13,0,4.113,8.0,8.0,44.88,3.0,0.12,134.64,122,0.0,21,0.0,1
R00140,18,1,381.29,2,2,3,2,37.63,16.43,1.13,0.37,0.63,0.32,0.11,0,4.1,8.0,8.0,59.5,3.38,0.12,201.11,263,0.5,19,0.0,1
R00141,48,0,398.59,1,1,4,2,33.75,14.05,1.12,0.5,0.21,0.08,0.17,0,4.179,5.0,5.0,64.8,2.0,0.4,129.6,679,0.0,23,0.0,1
R00142,1,6,433.65,5,5,4,5,34.54,15.08,1.1,0.29,0.38,0.21,0.21,0,4.438,5.0,5.0,50.2,2.4,0.2,120.48,347,0.86,23,0.0,1
R00144,6,2,554.71,4,3,5,4,33.36,16.67,1.18,0.64,0.2,0.28,0.12,0,4.052,9.0,9.0,160.11,3.56,0.67,569.99,377,0.67,23,0.0,1
R00145,5,5,553.78,4,5,5,5,35.33,19.17,1.28,0.19,0.33,0.24,0.29,0,4.233,4.0,4.0,23.0,2.75,0.0,63.25,444,0.83,21,0.0,1
R00146,3,3,340.95,5,4,2,4,31.07,16.98,1.19,0.4,0.4,0.33,0.27,0,4.36,1.0,1.0,55.0,1.0,0.0,55.0,119,0.75,15,0.0,1
R00147,11,2,502.99,3,3,5,4,38.7,17.6,1.17,0.43,0.22,0.22,0.22,0,4.248,7.0,7.0,73.0,2.57,0.14,187.61,397,0.67,23,0.0,1
R00148,16,2,255.91,3,3,1,2,33.64,15.4,1.13,0.36,0.43,0.14,0.29,0,4.107,4.0,4.0,78.5,2.25,0.25,176.62,149,0.67,14,0.0,1
R00149,57,0,366.64,1,1,3,2,30.68,15.2,1.08,0.23,0.05,0.14,0.27,0,4.232,3.0,3.0,245.0,2.33,0.33,570.85,495,0.0,21,0.0,1
R00150,57,0,170.69,1,1,1,1,33.15,12.64,1.0,0.38,0.38,0.23,0.0,0,3.992,9.0,9.0,76.11,1.78,0.11,135.48,65,0.0,13,0.0,1
R00151,0,4,481.1,5,5,5,5,35.0,16.73,1.15,0.3,0.35,0.26,0.22,0,4.13,9.0,9.0,158.56,2.11,0.44,334.56,643,0.8,19,0.0,1
R00152,31,0,619.12,1,1,5,2,35.1,16.81,1.13,0.19,0.58,0.32,0.16,0,4.061,7.0,7.0,137.71,2.57,0.0,353.91,280,0.0,30,0.0,1
R00153,8,3,328.36,4,4,2,3,34.75,14.38,1.08,0.5,0.2,0.4,0.2,0,4.325,7.0,7.0,38.14,2.57,0.14,98.02,601,0.75,20,0.0,1
R00154,1,3,408.15,5,4,4,4,28.13,15.29,1.09,0.43,0.35,0.3,0.17,0,4.174,6.0,6.0,114.67,3.0,0.0,344.01,363,0.75,22,0.0,1
R00155,23,1,394.78,2,2,3,2,31.59,16.13,1.21,0.59,0.47,0.29,0.12,0,4.182,6.0,6.0,70.5,2.5,0.33,176.25,604,0.5,17,0.0,1
R00157,9,2,450.8,4,3,4,4,35.08,14.13,1.15,0.27,0.42,0.23,0.27,0,4.2,6.0,6.0,324.5,2.33,0.0,756.08,132,0.67,26,0.0,1
R00158,3,3,428.98,5,4,4,4,33.52,15.49,1.07,0.24,0.2,0.2,0.12,0,4.136,5.0,5.0,53.4,4.2,0.2,224.28,197,0.75,25,0.0,1
R00159,15,1,391.68,3,2,3,3,33.06,15.83,1.34,0.24,0.35,0.29,0.24,0,4.488,8.0,8.0,55.88,3.38,0.0,188.87,134,0.5,16,0.0,1
R00160,0,3,339.27,5,4,2,4,24.67,16.15,1.14,0.22,0.33,0.39,0.39,0,4.267,4.0,4.0,29.25,3.25,0.25,95.06,109,0.75,18,0.0,1
R00162,18,5,488.34,2,5,5,4,34.87,16.19,1.15,0.74,0.17,0.17,0.17,0,4.148,4.0,4.0,18.75,3.75,0.25,70.31,93,0.83,22,0.0,1
